dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
pima.csv,0,2,base,None,acc,0.6103896103896104,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,2,base,None,f1,0.6067168125991655,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,2,base,None,auc,0.5637037037037037,"[array([[36, 14],
       [16, 11]])]"
pima.csv,0,2,wagging,None,acc,0.7142857142857143,"[array([[43,  7],
       [15, 12]])]"
pima.csv,0,2,wagging,None,f1,0.7000230043708305,"[array([[43,  7],
       [15, 12]])]"
pima.csv,0,2,wagging,None,auc,0.6522222222222221,"[array([[43,  7],
       [15, 12]])]"
pima.csv,0,2,AdaBoost,None,acc,0.6753246753246753,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,2,AdaBoost,None,f1,0.6705036824968293,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,2,AdaBoost,None,auc,0.6307407407407407,"[array([[39, 11],
       [14, 13]])]"
pima.csv,0,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 1.0]",acc,0.7532467532467533,"[array([[46,  4],
       [15, 12]])]"
pima.csv,0,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 1.0]",f1,0.6454817324382541,"[array([[41,  9],
       [17, 10]])]"
pima.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.6648148148148149,"[array([[35, 15],
       [10, 17]])]"
pima.csv,0,2,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",acc,0.6623376623376623,"[array([[44,  6],
       [20,  7]])]"
pima.csv,0,2,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",f1,0.6507902474883608,"[array([[40, 10],
       [16, 11]])]"
pima.csv,0,2,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",auc,0.6251851851851852,"[array([[44,  6],
       [17, 10]])]"
pima.csv,1,2,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,2,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,2,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
pima.csv,1,2,wagging,None,acc,0.7532467532467533,"[array([[47,  3],
       [16, 11]])]"
pima.csv,1,2,wagging,None,f1,0.7283211069094945,"[array([[47,  3],
       [16, 11]])]"
pima.csv,1,2,wagging,None,auc,0.6737037037037037,"[array([[47,  3],
       [16, 11]])]"
pima.csv,1,2,AdaBoost,None,acc,0.6753246753246753,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,2,AdaBoost,None,f1,0.6788480103726984,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,2,AdaBoost,None,auc,0.6562962962962962,"[array([[36, 14],
       [11, 16]])]"
pima.csv,1,2,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 1.0]",acc,0.7012987012987013,"[array([[44,  6],
       [17, 10]])]"
pima.csv,1,2,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 1.0]",f1,0.7339118036792455,"[array([[46,  4],
       [15, 12]])]"
pima.csv,1,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",auc,0.6948148148148149,"[array([[38, 12],
       [10, 17]])]"
pima.csv,1,2,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",acc,0.7142857142857143,"[array([[46,  4],
       [18,  9]])]"
pima.csv,1,2,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",f1,0.6633366633366634,"[array([[46,  4],
       [19,  8]])]"
pima.csv,1,2,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",auc,0.6451851851851852,"[array([[46,  4],
       [17, 10]])]"
