dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total
glass0,1,classic,none,0.99269981672986,0.26583549222797925,0.270995670995671,0.022029125871782594,0.00937249127678283,0.08466988496550393,"[[93, 51], [7, 63]]"
glass0,2,classic,none,1.1013019045837522,0.3120412348877375,0.34134199134199134,0.07454069099461261,0.031714012629400726,0.03339309248813498,"[[129, 15], [58, 12]]"
glass0,3,classic,none,0.8279318903088484,0.19573348445595856,0.2331168831168831,0.02899361936919617,0.012335598162259888,0.09646035621910351,"[[107, 37], [13, 57]]"
glass0,4,classic,none,0.8279318903088484,0.19573348445595856,0.2331168831168831,0.02899361936919617,0.012335598162259888,0.09646035621910351,"[[107, 37], [13, 57]]"
glass0,5,classic,none,0.8096264572083735,0.1879452720207254,0.22813852813852814,0.037819022985692154,0.016090446125412536,0.11879679729581932,"[[110, 34], [15, 55]]"
glass0,6,classic,none,0.8035246461748817,0.185349201208981,0.2326839826839827,0.03370446971976049,0.014339872143618737,0.11372394069140167,"[[108, 36], [14, 56]]"
glass0,7,classic,none,0.7461663538922776,0.16094559585492227,0.20909090909090908,0.028427038142567626,0.012094541043830712,0.10784541379054988,"[[116, 28], [17, 53]]"
glass0,8,classic,none,0.7608119689404401,0.16717670552677028,0.22337662337662337,0.03459883388849083,0.014720387485828918,0.10755831142533408,"[[118, 26], [22, 48]]"
glass0,9,classic,none,0.7534986756747271,0.16406519861830743,0.20909090909090908,0.029819202173019633,0.012686849849327884,0.10784541379054988,"[[117, 27], [18, 52]]"
glass0,10,classic,none,0.7595878010303945,0.16665587219343697,0.22337662337662337,0.03626612959637828,0.015429753557317436,0.10755831142533408,"[[118, 26], [22, 48]]"
glass0,11,classic,none,0.7485893183567203,0.16197646804835925,0.20909090909090908,0.028049548017710323,0.011933934448594506,0.10784541379054988,"[[117, 27], [18, 52]]"
glass0,12,classic,none,0.7437243609110985,0.15990662780656303,0.2331168831168831,0.050217512994321686,0.021365496080981,0.08878300181093192,"[[119, 25], [25, 45]]"
glass0,13,classic,none,0.7254569848440966,0.15213460708117443,0.20476190476190476,0.04538092542228889,0.019307726059051147,0.08965905736112272,"[[117, 27], [17, 53]]"
glass0,14,classic,none,0.7193424881327805,0.1495331390328152,0.2,0.04010873120428337,0.017064623241201424,0.09174244119404397,"[[117, 27], [16, 54]]"
