dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total
credit-g,1,classic,none,1.0730001573577232,0.3,0.3,7.401486830834377e-17,0.0,0.0,"[[0, 300], [0, 700]]"
credit-g,2,classic,none,1.0730001573577232,0.3,0.3,7.401486830834377e-17,0.0,0.0,"[[0, 300], [0, 700]]"
credit-g,3,classic,none,1.0414003030397456,0.28655555555555556,0.305,0.02978779513968602,0.012673487442318991,0.03951089863709897,"[[124, 176], [129, 571]]"
credit-g,4,classic,none,1.0411391472189357,0.28644444444444445,0.301,0.032239789208373545,0.01371671054400973,0.028460498941515408,"[[37, 263], [38, 662]]"
credit-g,5,classic,none,0.9985707484269492,0.26833333333333337,0.29100000000000004,0.03360813751792721,0.014298886735182191,0.03604010112206802,"[[147, 153], [138, 562]]"
credit-g,6,classic,none,0.9904749179818475,0.2648888888888889,0.288,0.02810578092435405,0.0119578592484279,0.03489667287547307,"[[105, 195], [93, 607]]"
credit-g,7,classic,none,0.9727163221667856,0.2573333333333333,0.279,0.028213425059917613,0.012003657421602754,0.03314949304120485,"[[106, 194], [85, 615]]"
credit-g,8,classic,none,0.9656651150049228,0.25433333333333336,0.27399999999999997,0.029040662966198158,0.0123556132870132,0.03272783388968954,"[[110, 190], [84, 616]]"
credit-g,9,classic,none,0.9701047639586882,0.25622222222222224,0.277,0.02580029186598061,0.010976968031314193,0.02830390628713837,"[[98, 202], [75, 625]]"
credit-g,10,classic,none,0.9502569215771486,0.2477777777777778,0.276,0.019965092537480852,0.008494329586059036,0.02633122354417535,"[[130, 170], [106, 594]]"
credit-g,11,classic,none,0.9565246612765822,0.2504444444444444,0.28300000000000003,0.017592247327906752,0.007484781083892819,0.036530048514126626,"[[106, 194], [89, 611]]"
credit-g,12,classic,none,0.9489511424730999,0.24722222222222223,0.281,0.022841805423005943,0.009718253158075502,0.04067486256208426,"[[97, 203], [78, 622]]"
credit-g,13,classic,none,0.9455561168025733,0.2457777777777778,0.272,0.022526108825238162,0.009583937179043482,0.039384147967311815,"[[114, 186], [86, 614]]"
credit-g,14,classic,none,0.9283198326291309,0.23844444444444446,0.269,0.013830030270828948,0.005884111735773477,0.04228212125447086,"[[119, 181], [88, 612]]"
credit-g,15,classic,none,0.9330206374037061,0.24044444444444446,0.273,0.012566875504719514,0.005346691091146252,0.03653004851412661,"[[115, 185], [88, 612]]"
credit-g,16,classic,none,0.924402495316985,0.2367777777777778,0.271,0.01276135126658653,0.005429432566784186,0.0395671019352638,"[[123, 177], [94, 606]]"
credit-g,17,classic,none,0.9314537024788476,0.23977777777777778,0.267,0.013190595338998246,0.005612058348111351,0.039171985454460254,"[[121, 179], [88, 612]]"
credit-g,18,classic,none,0.9210074696464584,0.23533333333333334,0.263,0.014293493856165018,0.006081296519044086,0.034334951418181575,"[[121, 179], [84, 616]]"
credit-g,19,classic,none,0.9194405347215999,0.23466666666666666,0.266,0.015117992445805962,0.0064320869173607135,0.03835506630304675,"[[124, 176], [90, 610]]"
credit-g,20,classic,none,0.9173512881551222,0.23377777777777778,0.263,0.019000469471004755,0.008083921958967889,0.039735234853828266,"[[126, 174], [89, 611]]"
credit-g,21,classic,none,0.9082108344267814,0.2298888888888889,0.27399999999999997,0.020763302072107418,0.00883393506763263,0.04005551702879947,"[[126, 174], [100, 600]]"
credit-g,22,classic,none,0.9176124439759319,0.2338888888888889,0.265,0.017935657527308545,0.007630888065939451,0.04249182927993987,"[[122, 178], [87, 613]]"
credit-g,23,classic,none,0.90951661353083,0.23044444444444445,0.263,0.018433646607908787,0.007842762034113436,0.03529242915351047,"[[128, 172], [91, 609]]"
credit-g,24,classic,none,0.9142174183054053,0.23244444444444445,0.262,0.019805033859455524,0.008426231170702151,0.04237399621885521,"[[127, 173], [89, 611]]"
credit-g,25,classic,none,0.904815808756255,0.22844444444444445,0.263,0.014101339567459618,0.00599954273520491,0.037727090178455755,"[[127, 173], [90, 610]]"
credit-g,26,classic,none,0.9045546529354451,0.22833333333333333,0.266,0.01927959742702869,0.00820267947790744,0.03777124126457412,"[[125, 175], [91, 609]]"
credit-g,27,classic,none,0.9006373156232991,0.22666666666666666,0.262,0.0187111053142174,0.00796080935563136,0.04049691346263317,"[[129, 171], [91, 609]]"
credit-g,28,classic,none,0.9027265621897771,0.22755555555555557,0.259,0.021563593232572294,0.009174426195787276,0.03634709219609062,"[[134, 166], [93, 607]]"
credit-g,29,classic,none,0.9035100296522062,0.2278888888888889,0.257,0.019599256696316063,0.008338681411455648,0.03683295625749671,"[[134, 166], [91, 609]]"
credit-g,30,classic,none,0.9001150039816798,0.22644444444444445,0.256,0.020702993977611293,0.008808276442189476,0.035023801430836526,"[[135, 165], [91, 609]]"
credit-g,31,classic,none,0.9019430947273479,0.22722222222222221,0.257,0.018922536944070926,0.008050764858994133,0.03683295625749671,"[[131, 169], [88, 612]]"
credit-g,32,classic,none,0.904815808756255,0.22844444444444445,0.259,0.023038358078324956,0.009801878266857793,0.03348299734359384,"[[133, 167], [92, 608]]"
credit-g,33,classic,none,0.9011596272649187,0.22688888888888886,0.255,0.018417195335905145,0.007835762691323188,0.0362859017617954,"[[134, 166], [89, 611]]"
credit-g,34,classic,none,0.900898471444109,0.2267777777777778,0.256,0.021089219650952937,0.008972599655708404,0.03169297153067923,"[[137, 163], [93, 607]]"
credit-g,35,classic,none,0.8980257574152019,0.22555555555555556,0.256,0.016879997495818297,0.007181747936913073,0.03306559138036598,"[[134, 166], [90, 610]]"
credit-g,36,classic,none,0.8980257574152019,0.22555555555555556,0.254,0.019659096000136024,0.00836414058565645,0.03533962208186286,"[[134, 166], [88, 612]]"
credit-g,37,classic,none,0.89985384816087,0.22633333333333333,0.255,0.01842747910204009,0.007840138012838584,0.0334165627596057,"[[133, 167], [88, 612]]"
credit-g,38,classic,none,0.8980257574152019,0.22555555555555556,0.253,0.01915142685938046,0.008148148148148144,0.035605867181937555,"[[135, 165], [88, 612]]"
credit-g,39,classic,none,0.9003761598024894,0.22655555555555557,0.257,0.017429963735409042,0.007415736058506773,0.03560586718193754,"[[132, 168], [89, 611]]"
credit-g,40,classic,none,0.8988092248776312,0.2258888888888889,0.254,0.018834225937522268,0.008013192140796469,0.03533962208186286,"[[134, 166], [88, 612]]"
credit-g,41,classic,none,0.8990703806984408,0.22600000000000003,0.255,0.01871920360730992,0.007964254847831476,0.0334165627596057,"[[134, 166], [89, 611]]"
credit-g,42,classic,none,0.8959365108487238,0.22466666666666665,0.256,0.021209254406751952,0.009023669530572487,0.038930136855083806,"[[136, 164], [92, 608]]"
credit-g,43,classic,none,0.8961976666695337,0.2247777777777778,0.24900000000000003,0.022024312927023254,0.009370443565809856,0.04040077006966851,"[[141, 159], [90, 610]]"
credit-g,44,classic,none,0.8912357060741488,0.22266666666666665,0.258,0.02133039005497933,0.009075207790098832,0.036453928305312834,"[[135, 165], [93, 607]]"
credit-g,45,classic,none,0.8875795245828126,0.22111111111111112,0.25,0.021710691075040298,0.00923701030617772,0.040276819911981905,"[[139, 161], [89, 611]]"
credit-g,46,classic,none,0.8914968618949585,0.2227777777777778,0.254,0.02129661269403321,0.00906083690572227,0.03687817782917154,"[[134, 166], [88, 612]]"
credit-g,47,classic,none,0.8878406804036223,0.2212222222222222,0.24900000000000003,0.019599256696316087,0.00833868141145563,0.03900142447541,"[[138, 162], [87, 613]]"
credit-g,48,classic,none,0.8862737454787638,0.22055555555555556,0.25,0.017114066079655828,0.007281334537532408,0.04163331998932265,"[[136, 164], [86, 614]]"
credit-g,49,classic,none,0.8849679663747152,0.22000000000000003,0.24900000000000003,0.018507496367012474,0.007874182083507143,0.04175324338699131,"[[140, 160], [89, 611]]"
credit-g,50,classic,none,0.8860125896579542,0.22044444444444444,0.253,0.016844044318692335,0.007166451331820936,0.038887301554906356,"[[136, 164], [89, 611]]"
credit-g,51,classic,none,0.884184498912286,0.21966666666666668,0.246,0.01813732972709781,0.007716691331320743,0.042478752858863975,"[[141, 159], [87, 613]]"
credit-g,52,classic,none,0.8867960571203832,0.2207777777777778,0.251,0.01651923822015625,0.0070282596331174025,0.03900142447541002,"[[136, 164], [87, 613]]"
credit-g,53,classic,none,0.8828787198082374,0.21911111111111112,0.251,0.0166449137439004,0.007081729423832362,0.03984692933938295,"[[136, 164], [87, 613]]"
credit-g,54,classic,none,0.8839233430914761,0.21955555555555556,0.252,0.01548448240150397,0.006588013390921242,0.044422216663887154,"[[141, 159], [93, 607]]"
credit-g,55,classic,none,0.8807894732417594,0.21822222222222223,0.246,0.015679018702912835,0.006670780623655957,0.03835506630304674,"[[145, 155], [91, 609]]"
credit-g,56,classic,none,0.8820952523458081,0.2187777777777778,0.25,0.013455087620696714,0.005724588986749649,0.04346134936801765,"[[138, 162], [88, 612]]"
