dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total,Factor
bands,1,classic,none,1.2372029203268329,0.3698615538586997,0.3697447447447447,0.0023762469528833,0.0010109958046909,0.009100648921906,"[[230, 0], [135, 0]]",
bands,2,classic,none,1.251491080735876,0.3759405812143228,0.3891891891891892,0.0460297658664652,0.0195837811071934,0.0590815348895239,"[[213, 17], [125, 10]]",
bands,3,classic,none,1.2107327963251402,0.3585995996738083,0.3834084084084084,0.0304467957063904,0.0129538652066833,0.0478247150491845,"[[216, 14], [126, 9]]",
bands,4,classic,none,1.2107327963251402,0.3585995996738083,0.3698948948948949,0.0319107424032531,0.0135767145982516,0.0143629255713557,"[[227, 3], [132, 3]]",
bands,5,classic,none,1.1606392900373987,0.3372868633701534,0.3887387387387387,0.0318562205135939,0.0135535177661031,0.0588368088732444,"[[198, 32], [110, 25]]",
bands,6,classic,none,1.1527415964942294,0.3339267180665727,0.3778528528528528,0.0639825257864483,0.0272219455411143,0.0619348388437472,"[[217, 13], [125, 10]]",
bands,7,classic,none,1.107725178912811,0.3147740751723626,0.3563063063063063,0.0510824042081372,0.0217334718873763,0.0356713276285864,"[[214, 16], [114, 21]]",
bands,8,classic,none,1.0940839062539944,0.3089702720735414,0.3671921921921922,0.0617190206356398,0.0262589167580213,0.0811007357015541,"[[207, 23], [111, 24]]",
bands,9,classic,none,1.0490500640867113,0.2898102157313366,0.3647897897897897,0.0432337984350914,0.018394211420532,0.0678057659507688,"[[196, 34], [99, 36]]",
bands,10,classic,none,1.0590539544462747,0.2940664615612721,0.3482732732732733,0.0418967747359783,0.0178253625688015,0.0594663788554351,"[[206, 24], [103, 32]]",
bands,11,classic,none,1.026842429402168,0.2803617762621395,0.3591591591591591,0.0568700424013399,0.0241958750165195,0.0710024835056865,"[[200, 30], [101, 34]]",
bands,12,classic,none,1.0239826192471262,0.2791450441100155,0.3509009009009008,0.0471719749004651,0.020069744293828,0.0609596460029351,"[[201, 29], [99, 36]]",
bands,13,classic,none,0.9903401000888822,0.2648315293943213,0.3540540540540541,0.053376567388134,0.0227095444068755,0.0785612025954537,"[[189, 41], [88, 47]]",
bands,14,classic,none,1.0053688053971743,0.2712256282897175,0.3427177177177177,0.0506808382677992,0.0215626220182178,0.0500441062536727,"[[201, 29], [96, 39]]",
bands,15,classic,none,0.9653140386407258,0.2541839647119875,0.3539039039039039,0.0481309506750903,0.0204777492294135,0.0823085208865306,"[[191, 39], [90, 45]]",
bands,16,classic,none,0.9846444385843628,0.262408258581066,0.3317567567567567,0.0440691255657772,0.0187496089197873,0.0534873834607636,"[[206, 24], [97, 38]]",
bands,17,classic,none,0.9545783156748456,0.2496163540662762,0.3427927927927928,0.0508047814942405,0.0216153547873434,0.0635667162444371,"[[196, 34], [91, 44]]",
bands,18,classic,none,0.955297079841764,0.249922158796056,0.3153153153153153,0.0408886998851369,0.0173964679862,0.0602879809468907,"[[198, 32], [83, 52]]",
bands,19,classic,none,0.927391605579468,0.2380495218326043,0.3346846846846847,0.0610696547424759,0.0259826381528446,0.0759712939429705,"[[191, 39], [83, 52]]",
bands,20,classic,none,0.9324011740155655,0.2401808881310697,0.3181681681681682,0.055622217696163,0.0236649766852695,0.059891739446165,"[[201, 29], [87, 48]]",
bands,21,classic,none,0.9180955890206578,0.234094447327452,0.3292042042042042,0.0631985364543249,0.0268883901735893,0.0716067816958595,"[[193, 37], [83, 52]]",
bands,22,classic,none,0.9130990890239588,0.2319686411149825,0.3291291291291291,0.0621679138762371,0.0264499024560555,0.0688731244465851,"[[194, 36], [84, 51]]",
bands,23,classic,none,0.9116484922507236,0.2313514715694269,0.3346846846846847,0.0472400571280819,0.020098710494673,0.064336998371618,"[[193, 37], [85, 50]]",
bands,24,classic,none,0.9138200312641102,0.2322753725257617,0.3154654654654655,0.0419916465281723,0.0178657266327198,0.0558375549900062,"[[193, 37], [78, 57]]",
bands,25,classic,none,0.893060815279569,0.2234431759211209,0.3045795795795796,0.0422464051191416,0.01797411598441,0.0553512032176318,"[[195, 35], [76, 59]]",
bands,26,classic,none,0.9023764344974772,0.2274065905552672,0.3102102102102102,0.045782929481411,0.0194787623298175,0.071269759912443,"[[194, 36], [77, 58]]",
bands,27,classic,none,0.8801884024720316,0.2179664912150641,0.3100600600600601,0.0493807933466208,0.0210095061227396,0.0608391247208117,"[[194, 36], [77, 58]]",
bands,28,classic,none,0.8730377880478107,0.2149241974942545,0.3072072072072072,0.0385851265070843,0.0164163918126428,0.0766875549302576,"[[195, 35], [77, 58]]",
bands,29,classic,none,0.8637308811228349,0.2109644895841055,0.2961711711711712,0.0363288196066522,0.0154564255904182,0.0622426756912307,"[[196, 34], [74, 61]]",
bands,30,classic,none,0.8687469837786317,0.2130986359255689,0.3044294294294294,0.0397595222133112,0.0169160491107202,0.0380582008886798,"[[195, 35], [76, 59]]",
bands,31,classic,none,0.8694657479455501,0.2134044406553488,0.2906156156156156,0.0408286196586113,0.0173709063092503,0.0606488593462057,"[[199, 31], [75, 60]]",
bands,32,classic,none,0.863733059196068,0.2109654162651049,0.296021021021021,0.0396536004095255,0.0168709837192117,0.060891650728682,"[[195, 35], [73, 62]]",
bands,33,classic,none,0.856575910552148,0.2079203425012973,0.296021021021021,0.0384602418175639,0.0163632584895165,0.0631405235542412,"[[196, 34], [74, 61]]",
bands,34,classic,none,0.8444004811791981,0.202740195715027,0.2986486486486487,0.0265826468198808,0.0113098280378099,0.0469921729692981,"[[193, 37], [72, 63]]",
bands,35,classic,none,0.8551470945112436,0.207312439765735,0.2931681681681682,0.0353341756231394,0.0150332452920606,0.0533769763484839,"[[196, 34], [73, 62]]",
bands,36,classic,none,0.8408197287840048,0.2012167321521239,0.3042042042042042,0.0328796521941233,0.0139889460510916,0.0526654015021841,"[[196, 34], [77, 58]]",
bands,37,classic,none,0.8415493833170886,0.2015271702869004,0.2933183183183183,0.0287719595705485,0.0122412909917742,0.0614261656338333,"[[193, 37], [70, 65]]",
bands,38,classic,none,0.832246832538579,0.19756931573875,0.2957957957957958,0.031334640711892,0.0133316069118074,0.0552582926295208,"[[196, 34], [74, 61]]",
bands,39,classic,none,0.833671292433017,0.1981753651123137,0.2904654654654655,0.0263012045588962,0.0111900858768477,0.039292397370098,"[[196, 34], [72, 63]]",
bands,40,classic,none,0.8114897946272708,0.1887380458151086,0.2902402402402402,0.0364979099748687,0.0155283666202312,0.0649978477775318,"[[197, 33], [73, 62]]",
bands,41,classic,none,0.8179216448845732,0.1914745348061383,0.2985735735735736,0.0281948347153359,0.0119957479909953,0.0502324628836211,"[[195, 35], [74, 61]]",
bands,42,classic,none,0.8122150930138885,0.1890466305878864,0.2822822822822822,0.0239650490004039,0.0101961473192936,0.0455524200336147,"[[198, 32], [71, 64]]",
bands,43,classic,none,0.8021719973361294,0.1847737044999629,0.2821321321321321,0.0249987760058392,0.0106359558435814,0.0545761315018322,"[[197, 33], [70, 65]]",
bands,44,classic,none,0.808627806398996,0.1875203869819853,0.2711711711711712,0.0346176677660687,0.0147284005297569,0.0522966743623011,"[[201, 29], [70, 65]]",
bands,45,classic,none,0.8064802261911733,0.1866066795166431,0.2793543543543543,0.0191475018191212,0.0081464782041928,0.0521667640473421,"[[197, 33], [69, 66]]",
bands,46,classic,none,0.8057658181707211,0.186302728148862,0.2766516516516516,0.0378502297553076,0.0161037233284073,0.0521845281355353,"[[197, 33], [68, 67]]",
bands,47,classic,none,0.8050383417108705,0.1859932166950849,0.2876126126126126,0.0255895529373892,0.0108873072439821,0.062146212203406,"[[196, 34], [71, 64]]",
bands,48,classic,none,0.8086212721792967,0.1875176069389873,0.2794294294294294,0.0435616415693059,0.018533695253593,0.063088678719591,"[[196, 34], [68, 67]]",
bands,49,classic,none,0.8000353074944723,0.1838646304396174,0.2957957957957958,0.0249948912295706,0.0106343030303058,0.0599609208463767,"[[193, 37], [71, 64]]",
bands,50,classic,none,0.8014815481212413,0.1844799466231744,0.2795045045045045,0.0439822822156881,0.0187126606293334,0.0579825563571197,"[[193, 37], [65, 70]]",
bands,51,classic,none,0.7950170267654425,0.1817295574171547,0.2958708708708709,0.0273894935237681,0.0116531082813339,0.0525959709100972,"[[197, 33], [75, 60]]",
bands,52,classic,none,0.8043304679101176,0.1856920453703017,0.2930930930930931,0.0381436203536468,0.0162285490177982,0.048019625811137,"[[195, 35], [72, 63]]",
bands,53,classic,none,0.7964458428063468,0.182337460152717,0.296021021021021,0.0335859853039685,0.0142894618749631,0.0565100861464812,"[[196, 34], [74, 61]]",
bands,54,classic,none,0.8007540716613907,0.1841704351693973,0.284984984984985,0.0327451912657798,0.013931738430358,0.0566762399967053,"[[200, 30], [74, 61]]",
bands,55,classic,none,0.7957379690055939,0.1820362888279338,0.2906906906906907,0.0224084854610244,0.0095338932525864,0.0535579970652397,"[[196, 34], [72, 63]]",
bands,56,classic,none,0.7971754973394305,0.1826478982874935,0.2795795795795796,0.0295792510824001,0.0125847604828784,0.0606723461392296,"[[200, 30], [72, 63]]",
bands,57,classic,none,0.7907305786427296,0.1799058492104678,0.3042792792792793,0.0281922767056723,0.0119946596625978,0.0485731158751841,"[[194, 36], [75, 60]]",
bands,58,classic,none,0.7971689631197314,0.1826451182444955,0.2879129129129129,0.030415382166279,0.0129405000313068,0.0658954575858576,"[[198, 32], [73, 62]]",
bands,59,classic,none,0.7821489701043713,0.1762547260730966,0.2933183183183183,0.0352444390755494,0.0149950660645056,0.0509036936859764,"[[197, 33], [74, 61]]",
bands,60,classic,none,0.7907371128624288,0.1799086292534658,0.2878378378378378,0.0290952451574408,0.0123788357750169,0.0692783818292804,"[[198, 32], [73, 62]]",
bands,61,classic,none,0.7835930326579071,0.1768691155756542,0.2989489489489489,0.01824841826993,0.0077639549587885,0.0659016822274598,"[[192, 38], [71, 64]]",
bands,62,classic,none,0.7828677342712896,0.1765605308028764,0.28506006006006,0.0275843208006336,0.011735999312214,0.066584486211988,"[[194, 36], [68, 67]]",
bands,63,classic,none,0.7850196706255784,0.1774760916302172,0.2905405405405405,0.0332826960931598,0.0141604247311748,0.0560694607167369,"[[192, 38], [68, 67]]",
bands,64,classic,none,0.780010102189481,0.1753447253317518,0.276951951951952,0.0276979098777683,0.011784326814666,0.0650404685163561,"[[194, 36], [65, 70]]",
bands,65,classic,none,0.7785812861485766,0.1747368225961894,0.2903903903903904,0.0354729417040105,0.0150922845789596,0.0607358955574817,"[[193, 37], [69, 66]]",
bands,66,classic,none,0.7842943722389608,0.1771675068574393,0.2795795795795796,0.0313585538223933,0.0133417809614214,0.059627025827521,"[[193, 37], [65, 70]]",
bands,67,classic,none,0.7821555043240705,0.1762575061160946,0.2794294294294294,0.0339956835940905,0.0144637717260498,0.0576345396318648,"[[193, 37], [65, 70]]",
bands,68,classic,none,0.7864484866664828,0.1780839943657795,0.2905405405405405,0.0293088477867303,0.0124697149497678,0.0572597509554475,"[[191, 39], [67, 68]]",
bands,69,classic,none,0.7757258321400011,0.1735219438060642,0.284984984984985,0.0263561570287491,0.0112134659032424,0.0556380093153328,"[[192, 38], [66, 69]]",
bands,70,classic,none,0.7800122802627141,0.1753456520127511,0.2878378378378378,0.0338352636662399,0.0143955196136804,0.056114342998567,"[[192, 38], [67, 68]]",
bands,71,classic,none,0.7750027118266166,0.1732142857142857,0.284984984984985,0.0258661120512816,0.0110049718257525,0.0556380093153328,"[[192, 38], [66, 69]]",
bands,72,classic,none,0.7793087626084273,0.1750463340499666,0.2823573573573573,0.0348350237844089,0.0148208766179007,0.058891758848597,"[[192, 38], [65, 70]]",
bands,73,classic,none,0.7728594877652601,0.1723024316109422,0.2849099099099099,0.0254225536505454,0.0108162558836929,0.0623391908292992,"[[193, 37], [67, 68]]",
bands,74,classic,none,0.772857309692027,0.1723015049299429,0.2823573573573573,0.0340108879721505,0.0144702405665097,0.0588140798012666,"[[194, 36], [67, 68]]",
bands,75,classic,none,0.7742883038061644,0.1729103343465045,0.2903903903903904,0.0282589675794185,0.0120230338993272,0.0567464721726909,"[[193, 37], [69, 66]]",
bands,76,classic,none,0.7707184417771368,0.1713915041885981,0.2932432432432432,0.0307563818129775,0.0130855814218563,0.0570737379687004,"[[192, 38], [69, 66]]",
bands,77,classic,none,0.7685599712031486,0.1704731633182593,0.2986486486486486,0.0263575209631945,0.011214046201515,0.055779203362328,"[[191, 39], [70, 65]]",
bands,78,classic,none,0.7707162637039036,0.1713905775075987,0.28506006006006,0.0316491694543728,0.013465426016222,0.05607175035912,"[[194, 36], [68, 67]]",
bands,79,classic,none,0.7699909653172861,0.1710819927348209,0.2932432432432432,0.0245275714160078,0.0104354775797828,0.0526349513704861,"[[191, 39], [68, 67]]",
bands,80,classic,none,0.7707162637039036,0.1713905775075987,0.28506006006006,0.0298035637410318,0.01268019633669,0.0546050977628158,"[[193, 37], [67, 68]]",
bands,81,classic,none,0.7664080348488598,0.1695576024909185,0.2905405405405405,0.0281706584996357,0.0119854620008895,0.0560694607167369,"[[194, 36], [70, 65]]",
bands,82,classic,none,0.7628272824536667,0.1680341389280154,0.28506006006006,0.0315327830395808,0.0134159083611083,0.05607175035912,"[[194, 36], [68, 67]]",
bands,83,classic,none,0.7599587600056926,0.1668137000518941,0.2933933933933934,0.0281674263938734,0.0119840868721968,0.0648759475325634,"[[192, 38], [69, 66]]",
bands,84,classic,none,0.7571076621435833,0.1656006746237675,0.2878378378378378,0.0313006714582322,0.0133171543849364,0.059322717828132,"[[194, 36], [69, 66]]",
